Adam Bennett,e8 e1 99 00 
Adam Burt,e8 e1 99 00 
Adam Creighton,3d b1 9a 00 
Adam Foote,74 fe 8f 00 
Adam Graves,74 fe 8f 00 
Adam Oates,14 f8 98 00 
Adrien Plavsic,3d b1 9a 00 
Al Iafrate,28 c6 98 00
Al MacInnis,e8 e8 97 00 
Alan May,e8 e1 99 00 
Alexei Gusarov,3d b1 9a 00 
Alexei Kasatonov,0acd9800
Alexei Kovalev,3d b1 9a 00 
Alexei Zhamnov,d3 a7 99 00 
Alexei Zhitnik,74 fe 8f 00 
Alexnder Godynyuk,74 fe 8f 00 
Alexnder Mogilny,fe c1 99 00 
Alexnder Semak,45 d5 99 00 
Allen Pedersen,e8 e1 99 00 
Anatoli Semenov,9dd19800
Andre Racicot,4e c6 99 00 
Andrei Kovalenko,e8 e1 99 00 
Andrei Lomakin,e8 a0 97 00 
Andrew Cassels,68 ee 99 00 
Andrew McBain,3d b1 9a 00 
Andy Brickley,e8 e1 99 00 
Andy Moog,8a f2 97 00 
Arturs Irbe,74 aa 98 00 
Basil McRae,3d b1 9a 00 
Benoit Brunet,3d b1 9a 00 
Benoit Hogue,c8 91 99 00 
Bernie Nicholls,3d b1 9a 00 
Bill Berg,e8 e1 99 00 
Bill Guerin,74 fe 8f 00 
Bill Houlder,74fe8f00
Bill Lindsay,3d b1 9a 00 
Bill Ranford,fd 93 99 00 
Bob Bassen,3d b1 9a 00 
Bob Beers,00 80 98 00 
Bob Carpenter,74 fe 8f 00 
Bob Corkum,74fe8f00
Bob Errey,3d b1 9a 00 
Bob Essensa,32 96 99 00 
Bob Kudelski,98 f4 99 00 
Bob McGill,74 fe 8f 00 
Bob Probert,74 fe 8f 00 
Bob Rouse,3d b1 9a 00 
Bob Sweeney,e8 e1 99 00 
Bobby Dollas,3db19a00
Bobby Holik,74 fe 8f 00 
Brad Berry,74 fe 8f 00 
Brad Dalgarno,3d b1 9a 00 
Brad Marsh,3d b1 9a 00 
Brad May,74 fe 8f 00 
Brad McCrimmon,e8 e1 99 00 
Brad Shaw,9b db 99 00 
Brad Werenka,e8 e1 99 00 
Brendan Shanahan,6c a3 99 00 
Brent Ashton,e8 e1 99 00 
Brent Fedyk,74 fe 8f 00 
Brent Gilchrist,3d b1 9a 00 
Brent Hughes,e8 e1 99 00 
Brent Sutter,e8 e1 99 00 
Brent Thompson,e8 e1 99 00 
Bret Hedican,74 fe 8f 00 
Brett Hull,99 f3 98 00 
Brian Bellows,c0 ca 98 00 
Brian Benning,e8 e1 99 00 
Brian Bradley,ac bd 99 00 
Brian Glynn,e8 e1 99 00 
Brian Hayward,4e c6 99 00 
Brian Leetch,06 94 97 00 
Brian Mullen,74 fe 8f 00 
Brian Noonan,e8 e1 99 00 
Brian Propp,3d b1 9a 00 
Brian Skrudland,c9 9e 98 00 
Bruce Driver,3d b1 9a 00 
Bryan Erickson,e8 e1 99 00 
Bryan Fogarty,74 fe 8f 00 
Bryan Marchment,74 fe 8f 00 
C.J. Young,e8 e1 99 00 
Calle Johansson,e8 e1 99 00 
Cam Neely,67 98 99 00 
Cam Russell,3d b1 9a 00 
Charlie Huddy,74 fe 8f 00 
Chris Chelios,f7 b4 99 00 
Chris Dahlquist,3d b1 9a 00 
Chris Joseph,3d b1 9a 00 
Chris Kontos,38 a1 99 00 
Chris Lindberg,74 fe 8f 00 
Chris Lipuma,74 fe 8f 00 
Chris Luongo,3d b1 9a 00 
Chris Simon,74 fe 8f 00 
Chris Terreri,29 a3 9a 00 
Christan Ruuttu,3d b1 9a 00 
Claude Boivin,74 fe 8f 00 
Claude Lapointe,3d b1 9a 00 
Claude Lemieux,0a ab 97 00 
Claude Loiselle,e8 e1 99 00 
Cliff Ronning,54 b9 99 00 
Colin Patterson,e8 e1 99 00 
Corey Millen,3d b1 9a 00 
Craig Berube,3d b1 9a 00 
Craig Billington,4e c6 99 00 
Craig Janney,c9 99 9a 00 
Craig Ludwig,74 fe 8f 00 
Craig MacTavish,3d b1 9a 00 
Craig Muni,e8 e1 99 00 
Craig Simpson,e8 e1 99 00 
Craig Wolanin,74 fe 8f 00 
Curt Giles,3d b1 9a 00 
Curtis Joseph,18 92 9a 00 
Curtis Leschyshyn,74 a3 97 00 
